project,module,testName,exceptionType,errorMessage
activiti.activiti,Activiti-activiti-engine,org.activiti.engine.test.bpmn.gateway.EventBasedGatewayTest.testCatchTimerCancelsSignal,java.lang.NullPointerException,
activiti.activiti,Activiti-activiti-engine,org.activiti.engine.test.bpmn.event.error.ErrorEventSubProcessTest.testErrorCodeTakesPrecedence,java.lang.NullPointerException,
activiti.activiti,Activiti-activiti-engine,org.activiti.engine.test.bpmn.async.AsyncTaskTest.testAsyncEndEvent,java.lang.NullPointerException,
activiti.activiti,Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeTaskAssigneeTest.cCreateStandaloneTaskForGroupAndClaim,java.lang.AssertionError,* Multiple error messages. *
activiti.activiti,Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeClaimReleaseTest.aCreateStandaloneTaskForGroup,java.lang.AssertionError,* Multiple error messages. *
activiti.activiti,Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeCompleteTaskTest.aCreateStandaloneTaskAndComplete,java.lang.AssertionError,* Multiple error messages. *
activiti.activiti,Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeTaskAssigneeTest.aCreateStandaloneTaskForAnotherAssignee,java.lang.AssertionError,* Multiple error messages. *
activiti.activiti,Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeTaskAssigneeTest.bCreateCheckTaskCreatedForSalaboyFromAnotherUser,java.lang.AssertionError,* Multiple error messages. *
activiti.activiti,Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeClaimReleaseTest.fCreateStandaloneTaskAndClaimAndReleaseUnAuthorized,java.lang.Exception,* Multiple error messages. *
activiti.activiti,Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeDeleteTaskTest.aCreateStandaloneTaskAndDelete,java.lang.AssertionError,* Multiple error messages. *
activiti.activiti,Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeUnAuthorizedTest.bClaimNotFoundBecauseYouAreNotACandidate,java.lang.Exception, Unexpected exception; expected<org.activiti.api.runtime.shared.NotFoundException> but was<org.activiti.engine.ActivitiIllegalArgumentException>\\n
activiti.activiti,Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeCompleteTaskTest.ctryCompletingWithUnauthorizedUser,java.lang.Exception, Unexpected exception; expected<org.activiti.api.runtime.shared.NotFoundException> but was<org.activiti.engine.ActivitiIllegalArgumentException>\\n
activiti.activiti,Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeCompleteTaskTest.bCreateStandaloneTask,java.lang.AssertionError,* Multiple error messages. *
activiti.activiti,Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeTaskForOtherTest.aCreateStandaloneTaskWithNoCandidates,java.lang.AssertionError,* Multiple error messages. *
activiti.activiti,Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeStandaloneTaskTest.bCreateStandaloneTaskForGroup,java.lang.AssertionError,* Multiple error messages. *
elasticjob.elastic-job-lite,elastic-job-lite-elastic-job-lite-core,io.elasticjob.lite.internal.schedule.JobRegistryTest.assertGetCurrentShardingTotalCountIfNull,java.lang.AssertionError, \\nExpected: is <0>\\n     but: was <10>\\n
elasticjob.elastic-job-lite,elastic-job-lite-elastic-job-lite-core,io.elasticjob.lite.reg.zookeeper.ZookeeperRegistryCenterModifyTest.assertPersistEphemeralSequential,java.lang.AssertionError, \\nExpected: is <2>\\n     but: was <4>\\n
elasticjob.elastic-job-lite,elastic-job-lite-elastic-job-lite-lifecycle,io.elasticjob.lite.lifecycle.api.JobAPIFactoryTest.assertCreateServerStatisticsAPI,io.elasticjob.lite.reg.exception.RegException, java.net.BindException: Address already in use\\n
elasticjob.elastic-job-lite,elastic-job-lite-elastic-job-lite-lifecycle,io.elasticjob.lite.reg.zookeeper.ZookeeperRegistryCenterModifyTest.assertPersistEphemeralSequential,io.elasticjob.lite.reg.exception.RegException, java.net.BindException: Address already in use\\n
elasticjob.elastic-job-lite,elastic-job-lite-elastic-job-lite-spring,io.elasticjob.lite.spring.job.JobSpringNamespaceWithListenerAndJdkDynamicProxyTest.assertSpringJobBean,io.elasticjob.lite.reg.exception.RegException, java.net.BindException: Address already in use\\n
activiti.activiti,Activiti-activiti-engine,org.activiti.engine.test.bpmn.gateway.EventBasedGatewayTest.testCatchTimerCancelsSignal,java.lang.NullPointerException,
activiti.activiti,Activiti-activiti-engine,org.activiti.engine.test.bpmn.event.error.ErrorEventSubProcessTest.testErrorCodeTakesPrecedence,java.lang.NullPointerException,
activiti.activiti,Activiti-activiti-engine,org.activiti.engine.test.bpmn.async.AsyncTaskTest.testAsyncEndEvent,java.lang.NullPointerException,
activiti.activiti,Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeClaimReleaseTest.eCreateStandaloneTaskAndClaimAndReleaseUnAuthorized,org.activiti.engine.ActivitiIllegalArgumentException, Task id is null\\n
activiti.activiti,Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeDeleteTaskTest.aCreateStandaloneTaskAndDelete,java.lang.AssertionError,* Multiple error messages. *
activiti.activiti,Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeClaimReleaseTest.aCreateStandaloneTaskForGroup,java.lang.AssertionError,* Multiple error messages. *
activiti.activiti,Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeTaskAssigneeTest.aCreateStandaloneTaskForAnotherAssignee,java.lang.AssertionError,* Multiple error messages. *
activiti.activiti,Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeUnAuthorizedTest.bClaimNotFoundBecauseYouAreNotACandidate,java.lang.Exception, Unexpected exception; expected<org.activiti.api.runtime.shared.NotFoundException> but was<org.activiti.engine.ActivitiIllegalArgumentException>\\n
activiti.activiti,Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeClaimReleaseTest.fCreateStandaloneTaskAndClaimAndReleaseUnAuthorized,java.lang.Exception, Unexpected exception; expected<org.activiti.api.runtime.shared.NotFoundException> but was<org.activiti.engine.ActivitiIllegalArgumentException>\\n
activiti.activiti,Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeTaskForOtherTest.aCreateStandaloneTaskWithNoCandidates,java.lang.AssertionError,* Multiple error messages. *
activiti.activiti,Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeTaskAssigneeTest.bCreateCheckTaskCreatedForSalaboyFromAnotherUser,java.lang.AssertionError, \\nExpected size:<1> but was:<0> in:\\n<[]>\\n
activiti.activiti,Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeUnAuthorizedTest.aCreateStandaloneTaskForGroup,java.lang.AssertionError,* Multiple error messages. *
activiti.activiti,Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeDeleteTaskTest.eClaimTaskCreatedForGroup,java.lang.Exception, Unexpected exception; expected<org.activiti.api.runtime.shared.NotFoundException> but was<org.activiti.engine.ActivitiIllegalArgumentException>\\n
activiti.activiti,Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeDeleteTaskTest.dClaimTaskCreatedForGroup,org.activiti.engine.ActivitiIllegalArgumentException, Task id is null\\n
activiti.activiti,Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeDeleteTaskTest.cCreateStandaloneGroupTaskClaimAndDeleteFail,java.lang.AssertionError,* Multiple error messages. *
activiti.activiti,Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeCompleteTaskTest.ctryCompletingWithUnauthorizedUser,java.lang.Exception, Unexpected exception; expected<org.activiti.api.runtime.shared.NotFoundException> but was<org.activiti.engine.ActivitiIllegalArgumentException>\\n
activiti.activiti,Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeTaskForOtherTest.bCheckThatTaskIsNotVisibleForNonCandidateUsers,java.lang.AssertionError, \\nExpected size:<0> but was:<2> in:\\n<[TaskImpl{id='482a1e23-cecc-11e8-a943-0242ac110002'; owner='garth'; assignee='null'; name='group task'; description='null'; createdDate=Sat Oct 13 09:42:21 UTC 2018; claimedDate=null; dueDate=null; priority=0; processDefinitionId='null'; processInstanceId='null'; parentTaskId='null'; status=CREATED};\\n    TaskImpl{id='4832a9a6-cecc-11e8-a943-0242ac110002'; owner='garth'; assignee='null'; name='group task'; description='null'; createdDate=Sat Oct 13 09:42:21 UTC 2018; claimedDate=null; dueDate=null; priority=0; processDefinitionId='null'; processInstanceId='null'; parentTaskId='null'; status=CREATED}]>\\n
activiti.activiti,Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeCompleteTaskTest.bCreateStandaloneTask,java.lang.AssertionError, \\nExpected size:<1> but was:<2> in:\\n<[TaskImpl{id='4b68f59a-cecc-11e8-a943-0242ac110002'; owner='garth'; assignee='null'; name='simple task'; description='null'; createdDate=Sat Oct 13 09:42:26 UTC 2018; claimedDate=null; dueDate=null; priority=0; processDefinitionId='null'; processInstanceId='null'; parentTaskId='null'; status=CREATED};\\n    TaskImpl{id='4b6e73dd-cecc-11e8-a943-0242ac110002'; owner='garth'; assignee='garth'; name='simple task'; description='null'; createdDate=Sat Oct 13 09:42:26 UTC 2018; claimedDate=null; dueDate=null; priority=0; processDefinitionId='null'; processInstanceId='null'; parentTaskId='null'; status=ASSIGNED}]>\\n
activiti.activiti,Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeCompleteTaskTest.aCreateStandaloneTaskAndComplete,java.lang.AssertionError,* Multiple error messages. *
alibaba.fastjson,fastjson-,com.alibaba.json.bvt.serializer.date.DateTest4_indian.test_date,junit.framework.AssertionFailedError, expected:<17100000> but was:<45900000>\\n
apache.hadoop,hadoop-hadoop-common-project-hadoop-auth,org.apache.hadoop.security.authentication.util.TestKerberosName.testRules,KeeperException,* Multiple error messages. *
apache.hadoop,hadoop-hadoop-hdfs-project-hadoop-hdfs-httpfs,org.apache.hadoop.lib.service.hadoop.TestFileSystemAccessService.fileSystemCache,org.apache.hadoop.ipc.RemoteException,org.apache.hadoop.security.authorize.AuthorizationException): User: colossus2 is not allowed to impersonate u\\n
apache.hadoop,hadoop-hadoop-hdfs-project-hadoop-hdfs-httpfs,org.apache.hadoop.lib.service.hadoop.TestFileSystemAccessService.fileSystemExecutor,org.apache.hadoop.lib.service.FileSystemAccessException, H03: FileSystemExecutor error; org.apache.hadoop.ipc.RemoteException(org.apache.hadoop.security.authorize.AuthorizationException): User: colossus2 is not allowed to impersonate u\\n
