project,module,#total_flakies,#single_mapped,#multi_mapped,#none_mapped
activiti.activiti,Activiti-activiti-engine,3,3,0,0
activiti.activiti,Activiti-activiti-spring-boot-starter,20,12,4,4
elasticjob.elastic-job-lite,elastic-job-lite-elastic-job-lite-core,9,2,0,7
elasticjob.elastic-job-lite,elastic-job-lite-elastic-job-lite-lifecycle,12,2,0,10
elasticjob.elastic-job-lite,elastic-job-lite-elastic-job-lite-spring,3,1,0,2
activiti.activiti,Activiti-activiti-engine,3,3,0,0
activiti.activiti,Activiti-activiti-spring-boot-starter,20,16,0,4
alibaba.fastjson,fastjson-,47,1,3,43
apache.hadoop,hadoop-hadoop-common-project-hadoop-auth,1,1,0,0
apache.hadoop,hadoop-hadoop-hdfs-project-hadoop-hdfs-httpfs,32,7,9,16
apache.hadoop,hadoop-hadoop-hdfs-project-hadoop-hdfs-nfs,58,4,7,47
apache.hadoop,hadoop-hadoop-mapreduce-project-hadoop-mapreduce-client-hadoop-mapreduce-client-app,64,51,3,10
apache.hadoop,hadoop-hadoop-mapreduce-project-hadoop-mapreduce-client-hadoop-mapreduce-client-core,89,44,10,35
apache.hadoop,hadoop-hadoop-mapreduce-project-hadoop-mapreduce-client-hadoop-mapreduce-client-hs,34,27,0,7
apache.hadoop,hadoop-hadoop-mapreduce-project-hadoop-mapreduce-client-hadoop-mapreduce-client-jobclient,38,27,0,11
apache.hadoop,hadoop-hadoop-yarn-project-hadoop-yarn-hadoop-yarn-registry,23,1,0,22
apache.hadoop,hadoop-hadoop-yarn-project-hadoop-yarn-hadoop-yarn-server-hadoop-yarn-server-router,1,1,0,0
apache.hadoop,hadoop-hadoop-yarn-project-hadoop-yarn-hadoop-yarn-server-hadoop-yarn-server-sharedcachemanager,13,7,0,6
apache.hadoop,hadoop-hadoop-yarn-project-hadoop-yarn-hadoop-yarn-server-hadoop-yarn-server-timeline-pluginstorage,95,52,11,32
apache.hadoop,hadoop-hadoop-yarn-project-hadoop-yarn-hadoop-yarn-server-hadoop-yarn-server-timelineservice,51,24,0,27
apache.hadoop,hadoop-hadoop-yarn-project-hadoop-yarn-hadoop-yarn-server-hadoop-yarn-server-timelineservice-hbase-tests,57,27,12,18
apache.hadoop,hadoop-hadoop-yarn-project-hadoop-yarn-hadoop-yarn-server-hadoop-yarn-server-web-proxy,36,0,4,32
apache.hbase,hbase-hbase-zookeeper,24,1,0,23
apache.incubator-dubbo,incubator-dubbo-dubbo-all,3,2,0,1
apache.incubator-dubbo,incubator-dubbo-dubbo-bom,4,1,0,3
apache.incubator-dubbo,incubator-dubbo-dubbo-bootstrap,3,1,0,2
apache.incubator-dubbo,incubator-dubbo-dubbo-cluster,4,3,1,0
apache.incubator-dubbo,incubator-dubbo-dubbo-common,23,1,0,22
apache.incubator-dubbo,incubator-dubbo-dubbo-compatible,8,2,0,6
apache.incubator-dubbo,incubator-dubbo-dubbo-config-dubbo-config-api,51,7,0,44
apache.incubator-dubbo,incubator-dubbo-dubbo-config-dubbo-config-spring,61,10,7,44
apache.incubator-dubbo,incubator-dubbo-dubbo-container-dubbo-container-logback,4,3,0,1
